,polygon,date,area
0,1,2025-06-03,48136500
1,1,2025-06-11,47735300
2,1,2025-06-13,45741100
3,1,2025-06-14,41860100
4,1,2025-06-16,29653000
5,1,2025-06-19,19682300
6,1,2025-06-21,17915000
7,1,2025-07-03,13686800
8,1,2025-07-18,11474000
9,1,2025-07-19,11551700
10,1,2025-08-02,9471600
11,2,2025-06-10,7793100
12,2,2025-06-11,6306100
13,2,2025-06-18,3881700
14,2,2025-06-20,3434900
15,2,2025-07-03,1540800
16,2,2025-07-05,1317600
17,2,2025-07-06,1160100
18,2,2025-07-13,745100
19,2,2025-07-20,462500
20,2,2025-08-02,99200
21,2,2025-08-07,38800
22,2,2025-08-17,9900
23,3,2025-06-17,620500
24,3,2025-06-20,541700
25,3,2025-07-02,239300
26,3,2025-07-04,176100
27,3,2025-07-05,136000
28,3,2025-07-20,4700
29,3,2025-07-25,3000
30,3,2025-07-27,1600
31,3,2025-08-01,900
32,3,2025-08-13,400
33,3,2025-08-14,2700
34,4,2025-06-11,2054500
35,4,2025-06-16,1292600
36,4,2025-06-23,865900
37,4,2025-06-28,574600
38,4,2025-07-03,382700
39,4,2025-07-05,325100
40,4,2025-07-06,284700
41,4,2025-07-25,19800
42,4,2025-08-02,6000
43,4,2025-08-07,0
44,4,2025-08-12,0
45,4,2025-08-14,0
46,4,2025-08-17,200
47,5,2025-06-03,20269300
48,5,2025-06-11,19866500
49,5,2025-06-13,16920200
50,5,2025-06-14,12539100
51,5,2025-06-16,8139300
52,5,2025-06-18,6355600
53,5,2025-06-19,5794200
54,5,2025-06-21,4892600
55,5,2025-07-01,2612000
56,5,2025-07-03,2263100
57,5,2025-07-06,1875100
58,5,2025-07-18,848300
59,5,2025-07-19,694400
60,5,2025-08-02,165900
